LB,XKLB,XM,XXMC
长江青年学者,世界史,李云飞,暨南大学
长江青年学者,传播学,刘涛,暨南大学
长江青年学者,控制理论与控制工程,王艳,江南大学
长江青年学者,工业设计,张凌浩,江南大学
长江青年学者,发酵工程,周景文,江南大学
长江青年学者,应用化学,施伟东,江苏大学
长江青年学者,植物学,向云,兰州大学
长江青年学者,有机化学,刘心元,南方科技大学
长江青年学者,内科学（内分泌与代谢病）,张惠杰,南方医科大学
长江青年学者,发育生物学,赵小阳,南方医科大学
长江青年学者,矿产普查与勘探,曹剑,南京大学
长江青年学者,分析化学,江德臣,南京大学
长江青年学者,企业管理学,许开全,南京大学
长江青年学者,马克思主义哲学,张亮,南京大学
长江青年学者,固体力学,郭宇锋,南京航空航天大学
长江青年学者,电磁场与微波技术,丁大志,南京理工大学
长江青年学者,火炮、自动武器与弹药工程,张先锋,南京理工大学
长江青年学者,农村区域发展,徐志刚,南京农业大学
长江青年学者,植物营养学,宣伟,南京农业大学
长江青年学者,通信与信息系统,刘博,南京信息工程大学
长江青年学者,计算机系统结构,肖甫,南京邮电大学
长江青年学者,有机电子学,赵强,南京邮电大学
长江青年学者,旅游管理学,李辉,南开大学
长江青年学者,世界经济,孙浦阳,南开大学
长江青年学者,民商法学(含劳动法学、社会保障法学),程啸,清华大学
长江青年学者,组织工程,杜亚楠,清华大学
长江青年学者,天体物理,冯骅,清华大学
长江青年学者,生物化工,戈钧,清华大学
长江青年学者,电力系统及其自动化,郭庆来,清华大学
长江青年学者,计算机系统结构,李丹,清华大学
长江青年学者,信号与信息处理,李刚,清华大学
长江青年学者,国际贸易学,马弘,清华大学
长江青年学者,机械设计与理论,马天宝,清华大学
长江青年学者,法律史,聂鑫,清华大学
长江青年学者,材料学,王轲,清华大学
长江青年学者,区域经济学,吴璟,清华大学
长江青年学者,工程热物理,胥蕊娜,清华大学
长江青年学者,水文学及水资源,杨汉波,清华大学
长江青年学者,控制理论与控制工程,张靖,清华大学
长江青年学者,材料物理与化学,张莹莹,清华大学
长江青年学者,高等教育学,胡钦晓,曲阜师范大学
长江青年学者,宪法学与行政法学,李忠夏,山东大学
长江青年学者,中国哲学,翟奎凤,山东大学
长江青年学者,妇产科学,赵涵,山东大学
长江青年学者,分析化学,李娜,山东师范大学
长江青年学者,科学技术哲学,高山,山西大学
长江青年学者,专门史,胡英泽,山西大学
长江青年学者,会计学,何贤杰,上海财经大学
长江青年学者,金融学（含保险学）,刘莉亚,上海财经大学
长江青年学者,社会学,孙秀林,上海大学
长江青年学者,微电子学与固体电子学,陈长鑫,上海交通大学
长江青年学者,体育人文社会学,陈作松,上海交通大学
长江青年学者,机械电子工程,谷国迎,上海交通大学
长江青年学者,计算数学,胡丹,上海交通大学
长江青年学者,高电压与绝缘技术,黄兴溢,上海交通大学
长江青年学者,内科学（内分泌与代谢病）,王计秋,上海交通大学
长江青年学者,信号与信息处理,义理林,上海交通大学
长江青年学者,金融学（含保险学）,袁宇,上海交通大学
长江青年学者,理论物理,张何朋,上海交通大学
长江青年学者,药物化学,张健,上海交通大学
长江青年学者,岩土工程,张璐璐,上海交通大学
